#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
61,"After Hours","Kehlani",72,121,"","","After Hours",2024-04-04,03:22,73,78,7,0,74,0,10,-4,C♯/D♭ Major,4,2025-02-03,2x03XLsTZ0o86h0cfHrkKF,"Atlantic Records",3B,USAT22401034
62,"Huntin’ Wabbitz","J. Cole",72,114,"rap","Hip Hop","Might Delete Later",2024-04-05,02:42,81,49,18,0,43,30,0,-8,C♯/D♭ minor Minor,4,2025-02-03,2cH8wHImerFokgmhjyhCTU,"Cole World, Inc. under exclusive license to Interscope Records",12A,USUG12402405
63,"L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT]","Billie Eilish",71,145,"","","L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT]",2024-05-21,04:31,68,66,0,2,78,0,0,-7,E minor Minor,4,2025-02-03,2Y6U158gVXfvqNWOLdis0R,"Darkroom/Interscope Records",9A,USUM72405871
64,"Witchy (feat. Childish Gambino)","KAYTRANADA,Childish Gambino",71,110,"","","TIMELESS",2024-06-07,03:47,59,62,0,0,32,10,10,-8,F Major,4,2025-02-03,1PxKsGzQcmiwDHvA9ig5gv,"KAYTRANADA/RCA Records",7B,USRC12300035
65,"BODYGUARD","Beyoncé",70,119,"","","COWBOY CARTER",2024-03-29,04:00,73,78,1,0,54,0,30,-5,E minor Minor,4,2025-02-03,6Y4rniIxibegzsg8cdWAWV,"Parkwood Entertainment/Columbia",9A,USSM12402709
66,"KEHLANI (REMIX) [feat. Kehlani]","Jordan Adetunji,Kehlani",70,160,"drill sexy, ","","KEHLANI (REMIX) [feat. Kehlani]",2024-06-20,02:59,41,70,8,0,22,0,30,-4,F#/G♭ Major,4,2025-02-03,5Nt2FMqnKI2mlp7lztURNo,"300 Entertainment",2B,USAT22406357
67,"Made For Me","Muni Long",70,120,"","","Revenge",2024-08-30,03:06,78,48,13,0,6,0,10,-7,G minor Minor,4,2025-02-03,6m94NnMDxM5KM5Ut5vgfhR,"Muni Long PS/ Def Jam",6A,USUG12307428
68,"Yeah Glo!","GloRilla",70,148,"","","Yeah Glo!",2024-02-09,02:22,89,66,2,0,18,30,10,-5,B minor Minor,4,2025-02-03,0SdBkFh6u5IHIXqlBu0NyI,"CMG/Interscope Records",10A,USUM72400409
69,"Here We Go (Uh Oh)","Coco Jones",69,177,"","","Here We Go (Uh Oh)",2024-05-03,03:36,40,75,32,0,47,10,10,-2,D#/E♭ minor Minor,3,2025-02-03,6SSSGEgfuqTP75xaNOwsTo,"High Standardz/Def Jam",2A,USUM72404366
70,"Burning","Tems",69,92,"afrobeats, alté, afrobeat","Traditional music, R&B","Born in the Wild",2024-06-06,02:55,83,29,38,0,42,0,0,-8,C♯/D♭ minor Minor,4,2025-02-03,1D1M805zV8DwhYXsvJdQZx,"RCA Records/Since 93'",12A,USRC12401314
71,"LEVII'S JEANS","Beyoncé,Post Malone",70,116,"","","COWBOY CARTER",2024-03-29,04:17,76,43,30,0,33,0,10,-7,C♯/D♭ Major,4,2025-02-03,2UDARQiksl207HcSduDpov,"Parkwood Entertainment/Columbia",3B,USSM12402718
72,"May Ninth","Khruangbin",68,81,"","","A LA SALA",2024-04-05,03:12,61,36,35,86,53,0,10,-11,F#/G♭ minor Minor,4,2025-02-03,5yVGW2o9LXaiiS4I3HUM3k,"Dead Oceans",11A,USJ5G2335702
73,"Te Felicito","Shakira,Rauw Alejandro",68,174,"pop latino, latina, reggaetón, urbano latino, trap latino","Latin","Las Mujeres Ya No Lloran",2024-03-22,02:52,70,60,23,0,58,30,0,-6,F Major,4,2025-02-03,64zcAZeIWHszCGKOSqAogH,"Sony Music Latin",7B,USQX92201764
