Rank;|;Title;|;Genre;|;Album;|;Singers;|;Year;|;Runtime (Minutes);|;Rating;|;Votes;|;Metascore
74;|;CARNIVAL;|;rap, ;|;VULTURES 1;|;¥$,Kanye West,Ty Dolla $ign;|;2024;|;04:24;|;148;|;9270628;|;68
75;|;Suffocate (feat. Poppy);|;hardcore, metalcore, deathcore, hardcore punk, metal, ;|;You Won't Go Before You're Supposed To;|;Knocked Loose,Poppy;|;2024;|;02:44;|;170;|;5150337;|;66
76;|;Dilemma;|;punk, pop punk;|;Saviors;|;Green Day;|;2024;|;03:18;|;120;|;8313888;|;65
77;|;Andalucía;|;latina;|;El Viaje;|;Luis Fonsi;|;2024;|;03:29;|;83;|;5674505;|;64
78;|;YA YA;|;Unknown;|;COWBOY CARTER;|;Beyoncé;|;2024;|;04:34;|;152;|;8491217;|;69
79;|;Higher;|;afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano;|;Higher;|;Burna Boy;|;2024;|;02:17;|;117;|;1328199;|;63
80;|;In The Room (feat. Tasha Cobbs Leonard);|;adoración, góspel, música cristiana;|;In The Room (feat. Tasha Cobbs Leonard);|;Maverick City Music,Naomi Raine,Chandler Moore,Tasha Cobbs Leonard;|;2023;|;09:57;|;104;|;9050309;|;63
81;|;Funk Rave;|;pop brasileño, funk pop, funk carioca, funk, pagode baiano;|;Funk Generation;|;Anitta;|;2024;|;02:27;|;135;|;9653901;|;63
82;|;Ruined Me;|;Unknown;|;Ruined Me;|;Muni Long;|;2024;|;03:16;|;98;|;3599839;|;62
83;|;Holy Forever (Live);|;adoración, música cristiana, música cristiana contemporánea, góspel;|;Holy Forever (Live);|;Bethel Music,Jenn Johnson,CeCe Winans;|;2024;|;10:42;|;144;|;2707983;|;61
84;|;Sensational (feat. Davido & Lojay);|;r&b, afrobeats, afrobeat, afropop, afropiano, azonto, amapiano, hiplife, afroswing, alté;|;Sensational (feat. Davido & Lojay);|;Chris Brown,Davido,Lojay;|;2023;|;03:51;|;100;|;4507581;|;61
85;|;Right Back to It;|;chamber pop, country alternativo;|;Tigers Blood;|;Waxahatchee,MJ Lenderman;|;2024;|;04:33;|;134;|;8339747;|;60
86;|;Good Good;|;r&b;|;COMING HOME;|;USHER,21 Savage,Summer Walker;|;2024;|;04:07;|;141;|;2312731;|;60
87;|;René;|;hip hop latino;|;LAS LETRAS YA NO IMPORTAN;|;Residente;|;2024;|;07:38;|;89;|;4009873;|;60
88;|;The American Dream Is Killing Me;|;punk, pop punk;|;Saviors;|;Green Day;|;2024;|;03:06;|;143;|;9828348;|;60
89;|;Never Gonna Be Alone (feat. Lizzy McAlpine & John Mayer);|;cantautores;|;Djesse Vol. 4;|;Jacob Collier,Lizzy McAlpine,John Mayer;|;2024;|;04:10;|;91;|;4462378;|;59
90;|;Sadness As A Gift;|;Unknown;|;Bright Future;|;Adrianne Lenker;|;2024;|;04:19;|;115;|;8058138;|;59
91;|;Big Mama;|;Unknown;|;Big Mama;|;Latto;|;2024;|;02:54;|;156;|;4312635;|;59
92;|;In The Name of Jesus (feat. Chandler Moore);|;adoración, música cristiana, góspel;|;In The Name of Jesus (feat. Chandler Moore);|;JWLKRS Worship,Maverick City Music,Chandler Moore;|;2024;|;04:58;|;184;|;593016;|;59
93;|;Neon Pill;|;rock moderno;|;Neon Pill;|;Cage The Elephant;|;2024;|;03:21;|;120;|;3928942;|;58
94;|;Enough (Miami);|;Unknown;|;Enough (Miami);|;Cardi B;|;2024;|;02:38;|;139;|;7492061;|;57
95;|;the boy is mine (with Brandy, Monica) - Remix;|;pop, r&b;|;the boy is mine (Remix);|;Ariana Grande,Brandy,Monica;|;2024;|;03:33;|;98;|;899796;|;57
96;|;That's How I'm Feeling;|;blues rock;|;No Name;|;Jack White;|;2024;|;03:11;|;128;|;2275947;|;57
97;|;Beautiful People (Stay High);|;blues rock, garage rock, blues modern, rock;|;Ohio Players;|;The Black Keys;|;2024;|;02:47;|;95;|;957916;|;56
98;|;Bigger Houses;|;country;|;Save Me The Trouble, Heartbreak On The Map, Bigger Houses;|;Dan + Shay;|;2023;|;03:17;|;140;|;3336323;|;56
99;|;Dark Matter;|;grunge, rock, post-grunge;|;Dark Matter;|;Pearl Jam;|;2024;|;03:31;|;100;|;7070800;|;55
100;|;Lucky (feat. Remi Wolf);|;edm, ;|;Telos;|;Zedd,Remi Wolf;|;2024;|;02:07;|;96;|;6340649;|;54
101;|;guidance;|;r&b;|;guidance;|;Jhené Aiko;|;2024;|;03:35;|;99;|;6133192;|;54
102;|;Cellar Door;|;metalcore, djent, metal;|;Cellar Door;|;Spiritbox;|;2023;|;04:43;|;84;|;7918886;|;53
103;|;Angry;|;rock clásico, rock;|;Hackney Diamonds;|;The Rolling Stones;|;2023;|;03:46;|;113;|;1467479;|;52
104;|;Te Lo Agradezco;|;pop latino, banda, norteño, sierreño, corrido, grupera, ranchera, sierreño triste, música mexicana;|;GARCÍA;|;Kany García,Carin Leon;|;2024;|;03:03;|;180;|;4667378;|;52
105;|;Screaming Suicide;|;metal, thrash metal, rock, heavy metal, hard rock;|;72 Seasons;|;Metallica;|;2023;|;05:30;|;101;|;343163;|;52
106;|;Crown of Horns;|;heavy metal, metal, hard rock, glam metal, speed metal;|;Crown of Horns;|;Judas Priest;|;2024;|;05:45;|;120;|;188949;|;51
107;|;Flea;|;art pop;|;All Born Screaming;|;St. Vincent;|;2024;|;03:46;|;138;|;7686908;|;51
108;|;Song Of The Lake;|;Unknown;|;Wild God;|;Nick Cave & The Bad Seeds;|;2024;|;03:36;|;149;|;7180407;|;49
109;|;Break Mine;|;country, country rock;|;Break Mine EP;|;Brothers Osborne;|;2024;|;04:09;|;109;|;5822121;|;48
110;|;One Hallelujah;|;góspel, adoración, góspel r&b, música cristiana;|;One Hallelujah;|;Tasha Cobbs Leonard,Erica Campbell,Israel Houghton,Jonathan McReynolds,Jekalyn Carr;|;2024;|;05:45;|;137;|;434430;|;48
111;|;Cowboys Cry Too (with Noah Kahan);|;country, pop country, ;|;Sorry Mom;|;Kelsea Ballerini,Noah Kahan;|;2024;|;03:51;|;87;|;734896;|;46
112;|;Don't Do Me Good;|;Unknown;|;Weird Faith;|;Madi Diaz,Kacey Musgraves;|;2024;|;04:13;|;116;|;9778532;|;45
113;|;Loved;|;idm, electrónica;|;Three;|;Four Tet;|;2024;|;04:03;|;165;|;5325791;|;45
114;|;What Now;|;Unknown;|;What Now;|;Brittany Howard;|;2024;|;03:46;|;100;|;2446995;|;44
115;|;Wanting and Waiting;|;rock sureño, rock;|;Happiness Bastards;|;The Black Crowes;|;2024;|;04:15;|;118;|;1220078;|;44
116;|;Ninety Three 'Til Infinity And Beyoncé;|;Unknown;|;New Blue Sun;|;André 3000;|;2023;|;03:49;|;108;|;971223;|;43
117;|;Empty Trainload Of Sky;|;folk americano, bluegrass, country alternativo, folk;|;Woodland;|;Gillian Welch,David Rawlings;|;2024;|;03:24;|;110;|;1849740;|;42
118;|;BYE BYE;|;noise rock;|;The Collective;|;Kim Gordon;|;2024;|;04:14;|;146;|;2459913;|;41
119;|;PRAISE YOU ANYWHERE (LIVE);|;adoración, música cristiana;|;TEAR OFF THE ROOF (LIVE FROM THE HOLY CITY);|;Brandon Lake;|;2024;|;04:11;|;108;|;9096784;|;41
120;|;Gift Horse;|;post-punk, noise rock, punk;|;TANGK;|;IDLES;|;2024;|;04:09;|;143;|;5984153;|;40
121;|;Hold On - Live;|;góspel, adoración;|;Choirmaster II (Live);|;Ricky Dillard;|;2024;|;06:10;|;208;|;4238874;|;38
122;|;Tomorrow;|;afrobeats, afrobeat, azonto, afropop, bongo flava;|;Tomorrow;|;Yemi Alade;|;2024;|;03:23;|;117;|;7826549;|;38
123;|;When The Sun Shines Again [Feat. Posdnuos];|;hip hop, jazz rap, neo soul, hip hop de la costa este, boom bap;|;The Auditorium Vol. 1;|;Common,Pete Rock,Posdnuos;|;2024;|;04:45;|;182;|;6235532;|;37
124;|;Firm Foundation (He Won't);|;rock cristiano, rock alternativo cristiano, rock chino, música cristiana;|;Firm Foundation (He Won't);|;Honor & Glory,Disciple;|;2024;|;04:46;|;156;|;6521665;|;36
125;|;Diamante;|;música mexicana, banda;|;Diamantes;|;Chiquis;|;2024;|;02:41;|;117;|;8538171;|;35
